Kata,Score,Avg Score,Won?,Karateka,Round #,Tournament
Anan,41.6,8.32,TRUE,Ryusei Ikeda,rr,2024 Casablanca
Unsu,39.5,7.9,FALSE,Tijani Lamoum,rr,2024 Casablanca
Gojushiho Sho,41.9,8.38,TRUE,Ali Sofuoglu,rr,2024 Casablanca
Kanku Sho,39.1,7.82,FALSE,Tijani Lamoum,rr,2024 Casablanca
Suparinpei,41.1,8.22,TRUE,Ryusei Ikeda,rr,2024 Casablanca
Ohan Dai,39.4,7.88,FALSE,Anthony Vu,rr,2024 Casablanca
Nijushiho,40.4,8.08,TRUE,Ali Sofuoglu,rr,2024 Casablanca
Papuren,41.1,8.22,TRUE,Eiji Otsuki,rr,2024 Casablanca
Kanku Sho,39.1,7.82,FALSE,Karim Ghaly,rr,2024 Casablanca
Kanku Sho,40.7,8.14,TRUE,Alessio Ghinami,rr,2024 Casablanca
Anan,38.9,7.78,FALSE,Ryonosuke Kikuchi,rr,2024 Casablanca
