Kata,Score,Avg Score,Won?,Karateka,Round #,Tournament,Opponent
Enpi,40.7,8.14,TRUE,Ryuji Moto,rr,2024 Cairo,Yuki Ujihara
Papuren,40.1,8.02,FALSE,Yuki Ujihara,rr,2024 Cairo,Gakuji Tozaki
Ohan Dai,41.5,8.3,TRUE,Gakuji Tozaki,rr,2024 Cairo,Yuki Ujihara
Sochin,39.4,7.88,FALSE,Franck Ngoan,rr,2024 Cairo,Ryuji Moto
Gojushiho Sho,41.2,8.24,TRUE,Ryuji Moto,rr,2024 Cairo,Franck Ngoan
Ohan Dai,40.6,8.12,TRUE,Ryonosuke Kikuchi,rr,2024 Cairo,Yaroslav Fedorov
Anan Dai,39.3,7.86,FALSE,Yaroslav Fedorov,rr,2024 Cairo,Ryonosuke Kikuchi
Papuren,40.3,8.06,FALSE,Rey Chinen,rr,2024 Cairo,Ali Sofuoglu
Sochin,41.2,8.24,TRUE,Ali Sofuoglu,rr,2024 Cairo,Rey Chinen
Ohan Dai,39.7,7.94,FALSE,Yaroslav Fedorov,rr,2024 Cairo,Rey Chinen
Anan Dai,40.1,8.02,TRUE,Rey Chinen,rr,2024 Cairo,Yaroslav Fedorov
Anan,41.2,8.24,FALSE,Ryonosuke Kikuchi,rr,2024 Cairo,Ali Sofuoglu
Gojushiho Dai,42.1,8.42,TRUE,Ali Sofuoglu,rr,2024 Cairo,Ryonosuke Kikuchi
Sochin,41,8.2,FALSE,Ryonosuke Kikuchi,rr,2024 Cairo,Rey Chinen
Suparinpei,41.3,8.26,TRUE,Rey Chinen,rr,2024 Cairo,Ryonosuke Kikuchi
Anan,39.6,7.92,FALSE,Yaroslav Fedorov,rr,2024 Cairo,Ali Sofuoglu
Nijushiho,41.5,8.3,TRUE,Ali Sofuoglu,rr,2024 Cairo,Yaroslav Fedorov
Ohan,38.5,7.7,TRUE,Manuel Grazia,rr,2024 Cairo,Abu Alhaija Kareem
Kanku Sho,37.8,7.56,FALSE,Abu Alhaija Kareem,rr,2024 Cairo,Manuel Grazia
Papuren,40,8,FALSE,Yuki Sato,rr,2024 Cairo,Enes Ozdemir
Gojushiho Dai,40.5,8.1,TRUE,Enes Ozdemir,rr,2024 Cairo,Yuki Sato
Gojushiho Sho,37.7,7.54,FALSE,Abu Alhaija Kareem,rr,2024 Cairo,Yuki Sato
Anan,40.2,8.04,TRUE,Yuki Sato,rr,2024 Cairo,Abu Alhaija Kareem
Anan Dai,39,7.8,FALSE,Manuel Grazia,rr,2024 Cairo,Enes Ozdemir
Gojushiho Sho,41.5,8.3,TRUE,Enes Ozdemir,rr,2024 Cairo,Manuel Grazia
Ohan Dai,38.8,7.76,FALSE,Manuel Grazia,rr,2024 Cairo,Yuki Sato
Suparinpei,40.6,8.12,TRUE,Yuki Sato,rr,2024 Cairo,Manuel Grazia
Unsu,36.6,7.32,FALSE,Abu Alhaija Kareem,rr,2024 Cairo,Enes Ozdemir
Sochin,41.3,8.26,TRUE,Enes Ozdemir,rr,2024 Cairo,Abu Alhaija Kareem
Gojushiho Dai,39.5,7.9,TRUE,Giuseppe Panagia,rr,2024 Cairo,Botond Nagy
Paiku,38.8,7.76,FALSE,Botond Nagy,rr,2024 Cairo,Giuseppe Panagia
Papuren,41.2,8.24,FALSE,Yasuhiro Machida,rr,2024 Cairo,Ariel Torres
Ohan Dai,41.9,8.38,TRUE,Ariel Torres,rr,2024 Cairo,Yasuhiro Machida
Ohan Dai,38.5,7.7,FALSE,Botond Nagy,rr,2024 Cairo,Yasuhiro Machida
Suparinpei,41.3,8.26,TRUE,Yasuhiro Machida,rr,2024 Cairo,Botond Nagy
Gankaku,38.9,7.78,FALSE,Giuseppe Panagia,rr,2024 Cairo,Ariel Torres
Kururunfa,42,8.4,TRUE,Ariel Torres,rr,2024 Cairo,Giuseppe Panagia
Gojushiho Sho,38.7,7.74,FALSE,Giuseppe Panagia,rr,2024 Cairo,Yasuhiro Machida
Anan Dai,40.7,8.14,TRUE,Yasuhiro Machida,rr,2024 Cairo,Giuseppe Panagia
Anan Dai,40,8,FALSE,Botond Nagy,rr,2024 Cairo,Ariel Torres
Ohan,42,8.4,TRUE,Ariel Torres,rr,2024 Cairo,Botond Nagy
Gojushiho Sho,39.8,7.96,FALSE,Gianluca Gallo,rr,2024 Cairo,Howard Hung Ho Wai
Ohan,40.3,8.06,TRUE,Howard Hung Ho Wai,rr,2024 Cairo,Gianluca Gallo
Papuren,40.8,8.16,TRUE,Aoi Funada,rr,2024 Cairo,Adam Bardos
Anan,37.9,7.58,FALSE,Adam Bardos,rr,2024 Cairo,Aoi Funada
Chibana,39.8,7.96,FALSE,Howard Hung Ho Wai,rr,2024 Cairo,Aoi Funada
Unsu,41.5,8.3,TRUE,Aoi Funada,rr,2024 Cairo,Howard Hung Ho Wai
Gojushiho Dai,39.4,7.88,TRUE,Gianluca Gallo,rr,2024 Cairo,Adam Bardos
Ohan Dai,38.6,7.72,FALSE,Adam Bardos,rr,2024 Cairo,Gianluca Gallo
Kanku Sho,37.9,7.58,FALSE,Gianluca Gallo,rr,2024 Cairo,Aoi Funada
Suparinpei,41.3,8.26,TRUE,Aoi Funada,rr,2024 Cairo,Gianluca Gallo
Ohan Dai,39.7,7.94,TRUE,Howard Hung Ho Wai,rr,2024 Cairo,Adam Bardos
Suparinpei,38.3,7.66,FALSE,Adam Bardos,rr,2024 Cairo,Howard Hung Ho Wai
Unsu,39.6,7.92,FALSE,Petru Comanescu,rr,2024 Cairo,Mohammad Hussain
Gojushiho Dai,39.8,7.96,TRUE,Mohammad Hussain,rr,2024 Cairo,Petru Comanescu
Ohan,38.7,7.74,FALSE,Roman Hrcka,rr,2024 Cairo,Kazumasa Moto
Sochin,41.8,8.36,TRUE,Kazumasa Moto,rr,2024 Cairo,Roman Hrcka
Unsu,39.7,7.94,TRUE,Mohammad Hussain,rr,2024 Cairo,Roman Hrcka
Nipaipo,39.6,7.92,FALSE,Roman Hrcka,rr,2024 Cairo,Mohammad Hussain
Gojushiho Sho,40.1,8.02,FALSE,Petru Comanescu,rr,2024 Cairo,Kazumasa Moto
